run_id,app_name,dataset,study_name,dataset_group,alpha_gyro,alpha_acc,dataset_nees,trial_mean_nees,trial_sum_deviations
20260504T020331353Z,evalPimNoiseCalibration,V101/tangent,all_pim_combined_coarse,all,0.5,7.0,143.364,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,V102/quadrature,all_pim_combined_coarse,all,0.5,7.0,16.5619,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,V102/tangent,all_pim_combined_coarse,all,0.5,7.0,42.398,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,V103/quadrature,all_pim_combined_coarse,all,0.5,7.0,24.8877,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,V103/tangent,all_pim_combined_coarse,all,0.5,7.0,79.8388,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,V201/quadrature,all_pim_combined_coarse,all,0.5,7.0,22.8627,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,V201/tangent,all_pim_combined_coarse,all,0.5,7.0,49.091,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,V202/quadrature,all_pim_combined_coarse,all,0.5,7.0,34.9234,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,V202/tangent,all_pim_combined_coarse,all,0.5,7.0,126.458,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,V203/quadrature,all_pim_combined_coarse,all,0.5,7.0,295.197,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,V203/tangent,all_pim_combined_coarse,all,0.5,7.0,192.503,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,MH01/quadrature,all_pim_combined_coarse,all,0.5,10.0,5.67732,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,MH01/tangent,all_pim_combined_coarse,all,0.5,10.0,20.6394,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,MH02/quadrature,all_pim_combined_coarse,all,0.5,10.0,4.85105,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,MH02/tangent,all_pim_combined_coarse,all,0.5,10.0,13.8988,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,MH03/quadrature,all_pim_combined_coarse,all,0.5,10.0,6.89619,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,MH03/tangent,all_pim_combined_coarse,all,0.5,10.0,28.6442,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,MH04/quadrature,all_pim_combined_coarse,all,0.5,10.0,7.29725,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,MH04/tangent,all_pim_combined_coarse,all,0.5,10.0,20.1373,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,MH05/quadrature,all_pim_combined_coarse,all,0.5,10.0,6.57812,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,MH05/tangent,all_pim_combined_coarse,all,0.5,10.0,13.3634,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,V101/quadrature,all_pim_combined_coarse,all,0.5,10.0,115.693,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,V101/tangent,all_pim_combined_coarse,all,0.5,10.0,142.659,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,V102/quadrature,all_pim_combined_coarse,all,0.5,10.0,15.9494,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,V102/tangent,all_pim_combined_coarse,all,0.5,10.0,41.7992,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,V103/quadrature,all_pim_combined_coarse,all,0.5,10.0,23.6401,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,V103/tangent,all_pim_combined_coarse,all,0.5,10.0,78.3806,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,V201/quadrature,all_pim_combined_coarse,all,0.5,10.0,21.6421,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,V201/tangent,all_pim_combined_coarse,all,0.5,10.0,47.9801,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,V202/quadrature,all_pim_combined_coarse,all,0.5,10.0,33.6077,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,V202/tangent,all_pim_combined_coarse,all,0.5,10.0,126.043,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,V203/quadrature,all_pim_combined_coarse,all,0.5,10.0,294.131,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,V203/tangent,all_pim_combined_coarse,all,0.5,10.0,191.57,57.3218,1239.08
20260504T020331353Z,evalPimNoiseCalibration,MH01/quadrature,all_pim_combined_coarse,all,0.5,13.0,5.47707,57.0084,1232.18
20260504T020331353Z,evalPimNoiseCalibration,MH01/tangent,all_pim_combined_coarse,all,0.5,13.0,20.5343,57.0084,1232.18
20260504T020331353Z,evalPimNoiseCalibration,MH02/quadrature,all_pim_combined_coarse,all,0.5,13.0,4.66024,57.0084,1232.18
20260504T020331353Z,evalPimNoiseCalibration,MH02/tangent,all_pim_combined_coarse,all,0.5,13.0,13.6371,57.0084,1232.18
20260504T020331353Z,evalPimNoiseCalibration,MH03/quadrature,all_pim_combined_coarse,all,0.5,13.0,6.43559,57.0084,1232.18
20260504T020331353Z,evalPimNoiseCalibration,MH03/tangent,all_pim_combined_coarse,all,0.5,13.0,28.2349,57.0084,1232.18
20260504T020331353Z,evalPimNoiseCalibration,MH04/quadrature,all_pim_combined_coarse,all,0.5,13.0,6.94633,57.0084,1232.18
20260504T020331353Z,evalPimNoiseCalibration,MH04/tangent,all_pim_combined_coarse,all,0.5,13.0,19.8458,57.0084,1232.18
20260504T020331353Z,evalPimNoiseCalibration,MH05/quadrature,all_pim_combined_coarse,all,0.5,13.0,6.30231,57.0084,1232.18
20260504T020331353Z,evalPimNoiseCalibration,MH05/tangent,all_pim_combined_coarse,all,0.5,13.0,13.1825,57.0084,1232.18
20260504T020331353Z,evalPimNoiseCalibration,V101/quadrature,all_pim_combined_coarse,all,0.5,13.0,115.583,57.0084,1232.18
20260504T020331353Z,evalPimNoiseCalibration,V101/tangent,all_pim_combined_coarse,all,0.5,13.0,142.483,57.0084,1232.18
20260504T020331353Z,evalPimNoiseCalibration,V102/quadrature,all_pim_combined_coarse,all,0.5,13.0,15.6577,57.0084,1232.18
